account_code,account_name,category,business_unit,geography,product_line,period,value,currency
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2023-09,36347240.89,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2023-09,14969473.87,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2023-09,6287586.48,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2023-09,17602181.24,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2023-09,8170158.0,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2023-09,4558531.61,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-09,6233423.67,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-09,3789626.67,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-09,2841505.75,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-09,1662264.21,INR
IQS-OPEX-005,Industrial Quality Solutions - IT & Software,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-09,1208946.18,INR
IQS-REV-001,Industrial Quality Solutions - Equipment & Product Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2023-10,34955320.97,INR
IQS-REV-002,Industrial Quality Solutions - Service & AMC Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2023-10,16118799.38,INR
IQS-REV-003,Industrial Quality Solutions - Training & Applications Revenue,Revenue,Carl Zeiss India,India,Industrial Quality Solutions,2023-10,6323995.88,INR
IQS-COGS-001,Industrial Quality Solutions - Imported Components & Materials,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2023-10,19634840.42,INR
IQS-COGS-002,Industrial Quality Solutions - Installation & Service Labor,COGS,Carl Zeiss India,India,Industrial Quality Solutions,2023-10,7879464.77,INR
IQS-COGS-003,"Industrial Quality Solutions - Freight, Customs & Logistics",COGS,Carl Zeiss India,India,Industrial Quality Solutions,2023-10,4160471.93,INR
IQS-OPEX-001,Industrial Quality Solutions - Sales & Marketing,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-10,6553664.86,INR
IQS-OPEX-002,Industrial Quality Solutions - Applications Engineering & R&D,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-10,3748749.62,INR
IQS-OPEX-003,Industrial Quality Solutions - G&A,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-10,3139391.37,INR
IQS-OPEX-004,Industrial Quality Solutions - Facilities & Rent,OpEx,Carl Zeiss India,India,Industrial Quality Solutions,2023-10,1819085.38,INR
