from_currency,to_currency,period,rate,rate_type
INR,USD,2023-09,0.01203,average
INR,USD,2023-10,0.012036,average
INR,USD,2023-11,0.011977,average
INR,USD,2023-12,0.012059,average
INR,USD,2024-01,0.011991,average
INR,USD,2024-02,0.011916,average
INR,USD,2024-03,0.012018,average
INR,USD,2024-04,0.011958,average
INR,USD,2024-05,0.011939,average
INR,USD,2024-06,0.011935,average
INR,USD,2024-07,0.011942,average
INR,USD,2024-08,0.011883,average
INR,USD,2024-09,0.011842,average
INR,USD,2024-10,0.011834,average
INR,USD,2024-11,0.011844,average
INR,USD,2024-12,0.011781,average
INR,USD,2025-01,0.011769,average
INR,USD,2025-02,0.011842,average
INR,USD,2025-03,0.01178,average
INR,USD,2025-04,0.011821,average
INR,USD,2025-05,0.011779,average
INR,USD,2025-06,0.011759,average
INR,USD,2025-07,0.01177,average
INR,USD,2025-08,0.011748,average
INR,USD,2025-09,0.011714,average
INR,USD,2025-10,0.011689,average
INR,USD,2025-11,0.011731,average
INR,USD,2025-12,0.01168,average
INR,USD,2026-01,0.011624,average
INR,USD,2026-02,0.011635,average
INR,USD,2026-03,0.011635,average
INR,USD,2026-04,0.011649,average
INR,USD,2026-05,0.011634,average
INR,USD,2026-06,0.01152,average
INR,USD,2026-07,0.01167,average
INR,USD,2026-08,0.01161,average
