account_code,account_name,category,business_unit,geography,product_line,period,value,currency
NO-REV-001,North America - Product Revenue,Revenue,North America,North America,All Products,2023-01,3194852.35,USD
NO-REV-002,North America - Service Revenue,Revenue,North America,North America,All Products,2023-01,1176006.78,USD
NO-REV-003,North America - Subscription Revenue,Revenue,North America,North America,All Products,2023-01,467214.4,USD
NO-COGS-001,North America - Material Costs,COGS,North America,North America,All Products,2023-01,1635252.31,USD
NO-COGS-002,North America - Labor Costs,COGS,North America,North America,All Products,2023-01,791263.24,USD
NO-COGS-003,North America - Fulfillment,COGS,North America,North America,All Products,2023-01,500517.2,USD
NO-OPEX-001,North America - Sales & Marketing,OpEx,North America,North America,All Products,2023-01,551267.97,USD
NO-OPEX-002,North America - R&D,OpEx,North America,North America,All Products,2023-01,394432.1,USD
NO-OPEX-003,North America - G&A,OpEx,North America,North America,All Products,2023-01,241522.62,USD
NO-OPEX-004,North America - Rent & Facilities,OpEx,North America,North America,All Products,2023-01,123415.03,USD
NO-OPEX-005,North America - IT & Software,OpEx,North America,North America,All Products,2023-01,88264.67,USD
NO-REV-001,North America - Product Revenue,Revenue,North America,North America,All Products,2023-02,3237955.76,USD
NO-REV-002,North America - Service Revenue,Revenue,North America,North America,All Products,2023-02,1343581.42,USD
NO-REV-003,North America - Subscription Revenue,Revenue,North America,North America,All Products,2023-02,479721.57,USD
NO-COGS-001,North America - Material Costs,COGS,North America,North America,All Products,2023-02,1640977.79,USD
NO-COGS-002,North America - Labor Costs,COGS,North America,North America,All Products,2023-02,736814.48,USD
NO-COGS-003,North America - Fulfillment,COGS,North America,North America,All Products,2023-02,466931.36,USD
NO-OPEX-001,North America - Sales & Marketing,OpEx,North America,North America,All Products,2023-02,572966.98,USD
NO-OPEX-002,North America - R&D,OpEx,North America,North America,All Products,2023-02,389571.58,USD
NO-OPEX-003,North America - G&A,OpEx,North America,North America,All Products,2023-02,225668.08,USD
NO-OPEX-004,North America - Rent & Facilities,OpEx,North America,North America,All Products,2023-02,154647.01,USD
NO-OPEX-005,North America - IT & Software,OpEx,North America,North America,All Products,2023-02,89154.02,USD
NO-REV-001,North America - Product Revenue,Revenue,North America,North America,All Products,2023-03,2977316.05,USD
NO-REV-002,North America - Service Revenue,Revenue,North America,North America,All Products,2023-03,1279897.61,USD
NO-REV-003,North America - Subscription Revenue,Revenue,North America,North America,All Products,2023-03,531104.79,USD
NO-COGS-001,North America - Material Costs,COGS,North America,North America,All Products,2023-03,1788702.54,USD
NO-COGS-002,North America - Labor Costs,COGS,North America,North America,All Products,2023-03,751367.75,USD
NO-COGS-003,North America - Fulfillment,COGS,North America,North America,All Products,2023-03,494355.98,USD
NO-OPEX-001,North America - Sales & Marketing,OpEx,North America,North America,All Products,2023-03,586459.7,USD
NO-OPEX-002,North America - R&D,OpEx,North America,North America,All Products,2023-03,433895.42,USD
NO-OPEX-003,North America - G&A,OpEx,North America,North America,All Products,2023-03,258228.18,USD
NO-OPEX-004,North America - Rent & Facilities,OpEx,North America,North America,All Products,2023-03,147416.2,USD
NO-OPEX-005,North America - IT & Software,OpEx,North America,North America,All Products,2023-03,48107.08,USD
NO-REV-001,North America - Product Revenue,Revenue,North America,North America,All Products,2023-04,3508793.58,USD
NO-REV-002,North America - Service Revenue,Revenue,North America,North America,All Products,2023-04,1378425.48,USD
NO-REV-003,North America - Subscription Revenue,Revenue,North America,North America,All Products,2023-04,542209.24,USD
NO-COGS-001,North America - Material Costs,COGS,North America,North America,All Products,2023-04,1895768.74,USD
NO-COGS-002,North America - Labor Costs,COGS,North America,North America,All Products,2023-04,789580.77,USD
NO-COGS-003,North America - Fulfillment,COGS,North America,North America,All Products,2023-04,508745.21,USD
NO-OPEX-001,North America - Sales & Marketing,OpEx,North America,North America,All Products,2023-04,587712.84,USD
NO-OPEX-002,North America - R&D,OpEx,North America,North America,All Products,2023-04,368487.76,USD
NO-OPEX-003,North America - G&A,OpEx,North America,North America,All Products,2023-04,270383.27,USD
NO-OPEX-004,North America - Rent & Facilities,OpEx,North America,North America,All Products,2023-04,145144.39,USD
NO-OPEX-005,North America - IT & Software,OpEx,North America,North America,All Products,2023-04,109213.24,USD
NO-REV-001,North America - Product Revenue,Revenue,North America,North America,All Products,2023-05,3267487.62,USD
NO-REV-002,North America - Service Revenue,Revenue,North America,North America,All Products,2023-05,1343851.97,USD
NO-REV-003,North America - Subscription Revenue,Revenue,North America,North America,All Products,2023-05,523100.46,USD
NO-COGS-001,North America - Material Costs,COGS,North America,North America,All Products,2023-05,1962251.62,USD
NO-COGS-002,North America - Labor Costs,COGS,North America,North America,All Products,2023-05,804367.36,USD
NO-COGS-003,North America - Fulfillment,COGS,North America,North America,All Products,2023-05,487495.15,USD
NO-OPEX-001,North America - Sales & Marketing,OpEx,North America,North America,All Products,2023-05,636350.16,USD
NO-OPEX-002,North America - R&D,OpEx,North America,North America,All Products,2023-05,438128.05,USD
NO-OPEX-003,North America - G&A,OpEx,North America,North America,All Products,2023-05,235679.06,USD
NO-OPEX-004,North America - Rent & Facilities,OpEx,North America,North America,All Products,2023-05,167436.86,USD
NO-OPEX-005,North America - IT & Software,OpEx,North America,North America,All Products,2023-05,102009.74,USD
NO-REV-001,North America - Product Revenue,Revenue,North America,North America,All Products,2023-06,3035131.92,USD
NO-REV-002,North America - Service Revenue,Revenue,North America,North America,All Products,2023-06,1264384.78,USD
NO-REV-003,North America - Subscription Revenue,Revenue,North America,North America,All Products,2023-06,486406.07,USD
NO-COGS-001,North America - Material Costs,COGS,North America,North America,All Products,2023-06,1640560.39,USD
NO-COGS-002,North America - Labor Costs,COGS,North America,North America,All Products,2023-06,721050.26,USD
NO-COGS-003,North America - Fulfillment,COGS,North America,North America,All Products,2023-06,588103.83,USD
NO-OPEX-001,North America - Sales & Marketing,OpEx,North America,North America,All Products,2023-06,614482.85,USD
